,tier,available_regions,ram,disk
0,D0,"asia-east1,europe-west1,us-central,us-east1",128 MiB,250 GiB
1,D1,"asia-east1,europe-west1,us-central,us-east1",512 MiB,250 GiB
2,D2,"asia-east1,europe-west1,us-central,us-east1",1 GiB,250 GiB
3,D4,"asia-east1,europe-west1,us-central,us-east1",2 GiB,250 GiB
4,D8,"asia-east1,europe-west1,us-central,us-east1",4 GiB,250 GiB
5,D16,"asia-east1,europe-west1,us-central,us-east1",8 GiB,250 GiB
6,D32,"asia-east1,europe-west1,us-central,us-east1",16 GiB,250 GiB
7,db-f1-micro,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",614.4 MiB,3.0 TiB
8,db-g1-small,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",1.7 GiB,3.0 TiB
9,db-n1-standard-1,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",3.8 GiB,10.0 TiB
10,db-n1-standard-2,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",7.5 GiB,10.0 TiB
11,db-n1-standard-4,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",15 GiB,10.0 TiB
12,db-n1-standard-8,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",30 GiB,10.0 TiB
13,db-n1-standard-16,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",60 GiB,10.0 TiB
14,db-n1-standard-32,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",120 GiB,10.0 TiB
15,db-n1-standard-64,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",240 GiB,10.0 TiB
16,db-n1-highmem-2,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",13 GiB,10.0 TiB
17,db-n1-highmem-4,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",26 GiB,10.0 TiB
18,db-n1-highmem-8,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",52 GiB,10.0 TiB
19,db-n1-highmem-16,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",104 GiB,10.0 TiB
20,db-n1-highmem-32,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",208 GiB,10.0 TiB
21,db-n1-highmem-64,"asia-east1,asia-northeast1,australia-southeast1,europe-west1,europe-west2,europe-west3,us-central1,us-east1,us-east4,us-west1,southamerica-east1,asia-south1,northamerica-northeast1,europe-west4,us-west2,europe-north1,asia-southeast1,asia-east2",416 GiB,10.0 TiB
