,id,name,description,zone,guestCpus,isSharedCpu,memoryMb,imageSpaceGb,maximumPersistentDisks,maximumPersistentDisksSizeGb
0,1000,f1-micro,1 vCPU (shared physical core) and 0.6 GB RAM,us-central1-f,1,True,0.60,0,16,3072
1,2000,g1-small,1 vCPU (shared physical core) and 1.7 GB RAM,us-central1-f,1,True,1.70,0,16,3072
2,4016,n1-highcpu-16,"16 vCPUs, 14.4 GB RAM",us-central1-f,16,False,14.40,10,128,65536
3,4002,n1-highcpu-2,"2 vCPUs, 1.8 GB RAM",us-central1-f,2,False,1.80,10,128,65536
4,4032,n1-highcpu-32,"32 vCPUs, 28.8 GB RAM",us-central1-f,32,False,28.80,0,128,65536
5,4004,n1-highcpu-4,"4 vCPUs, 3.6 GB RAM",us-central1-f,4,False,3.60,10,128,65536
6,4064,n1-highcpu-64,"64 vCPUs, 57.6 GB RAM",us-central1-f,64,False,57.60,0,128,65536
7,4008,n1-highcpu-8,"8 vCPUs, 7.2 GB RAM",us-central1-f,8,False,7.20,10,128,65536
8,4096,n1-highcpu-96,"96 vCPUs, 86 GB RAM",us-central1-f,96,False,86.40,0,128,65536
9,5016,n1-highmem-16,"16 vCPUs, 104 GB RAM",us-central1-f,16,False,104.00,10,128,65536
10,5002,n1-highmem-2,"2 vCPUs, 13 GB RAM",us-central1-f,2,False,13.00,10,128,65536
11,5032,n1-highmem-32,"32 vCPUs, 208 GB RAM",us-central1-f,32,False,208.00,0,128,65536
12,5004,n1-highmem-4,"4 vCPUs, 26 GB RAM",us-central1-f,4,False,26.00,10,128,65536
13,5064,n1-highmem-64,"64 vCPUs, 416 GB RAM",us-central1-f,64,False,416.00,0,128,65536
14,5008,n1-highmem-8,"8 vCPUs, 52 GB RAM",us-central1-f,8,False,52.00,10,128,65536
15,5096,n1-highmem-96,"96 vCPUs, 624 GB RAM",us-central1-f,96,False,624.00,0,128,65536
16,3001,n1-standard-1,"1 vCPU, 3.75 GB RAM",us-central1-f,1,False,3.75,10,128,65536
17,3016,n1-standard-16,"16 vCPUs, 60 GB RAM",us-central1-f,16,False,60.00,10,128,65536
18,3002,n1-standard-2,"2 vCPUs, 7.5 GB RAM",us-central1-f,2,False,7.50,10,128,65536
19,3032,n1-standard-32,"32 vCPUs, 120 GB RAM",us-central1-f,32,False,120.00,0,128,65536
20,3004,n1-standard-4,"4 vCPUs, 15 GB RAM",us-central1-f,4,False,15.00,10,128,65536
21,3064,n1-standard-64,"64 vCPUs, 240 GB RAM",us-central1-f,64,False,240.00,0,128,65536
22,3008,n1-standard-8,"8 vCPUs, 30 GB RAM",us-central1-f,8,False,30.00,10,128,65536
23,3096,n1-standard-96,"96 vCPUs, 360 GB RAM",us-central1-f,96,False,360.00,0,128,65536
24,1000,f1-micro,1 vCPU (shared physical core) and 0.6 GB RAM,europe-west1-d,1,True,0.60,0,16,3072
25,2000,g1-small,1 vCPU (shared physical core) and 1.7 GB RAM,europe-west1-d,1,True,1.70,0,16,3072
26,4016,n1-highcpu-16,"16 vCPUs, 14.4 GB RAM",europe-west1-d,16,False,14.40,10,128,65536
27,4002,n1-highcpu-2,"2 vCPUs, 1.8 GB RAM",europe-west1-d,2,False,1.80,10,128,65536
28,4032,n1-highcpu-32,"32 vCPUs, 28.8 GB RAM",europe-west1-d,32,False,28.80,0,128,65536
29,4004,n1-highcpu-4,"4 vCPUs, 3.6 GB RAM",europe-west1-d,4,False,3.60,10,128,65536
30,4064,n1-highcpu-64,"64 vCPUs, 57.6 GB RAM",europe-west1-d,64,False,57.60,0,128,65536
31,4008,n1-highcpu-8,"8 vCPUs, 7.2 GB RAM",europe-west1-d,8,False,7.20,10,128,65536
32,4096,n1-highcpu-96,"96 vCPUs, 86 GB RAM",europe-west1-d,96,False,86.40,0,128,65536
33,5016,n1-highmem-16,"16 vCPUs, 104 GB RAM",europe-west1-d,16,False,104.00,10,128,65536
34,5002,n1-highmem-2,"2 vCPUs, 13 GB RAM",europe-west1-d,2,False,13.00,10,128,65536
35,5032,n1-highmem-32,"32 vCPUs, 208 GB RAM",europe-west1-d,32,False,208.00,0,128,65536
36,5004,n1-highmem-4,"4 vCPUs, 26 GB RAM",europe-west1-d,4,False,26.00,10,128,65536
37,5064,n1-highmem-64,"64 vCPUs, 416 GB RAM",europe-west1-d,64,False,416.00,0,128,65536
38,5008,n1-highmem-8,"8 vCPUs, 52 GB RAM",europe-west1-d,8,False,52.00,10,128,65536
39,5096,n1-highmem-96,"96 vCPUs, 624 GB RAM",europe-west1-d,96,False,624.00,0,128,65536
40,9096,n1-megamem-96,"96 vCPUs, 1.4 TB RAM",europe-west1-d,96,False,1433.60,0,128,65536
41,3001,n1-standard-1,"1 vCPU, 3.75 GB RAM",europe-west1-d,1,False,3.75,10,128,65536
42,3016,n1-standard-16,"16 vCPUs, 60 GB RAM",europe-west1-d,16,False,60.00,10,128,65536
43,3002,n1-standard-2,"2 vCPUs, 7.5 GB RAM",europe-west1-d,2,False,7.50,10,128,65536
44,3032,n1-standard-32,"32 vCPUs, 120 GB RAM",europe-west1-d,32,False,120.00,0,128,65536
45,3004,n1-standard-4,"4 vCPUs, 15 GB RAM",europe-west1-d,4,False,15.00,10,128,65536
46,3064,n1-standard-64,"64 vCPUs, 240 GB RAM",europe-west1-d,64,False,240.00,0,128,65536
47,3008,n1-standard-8,"8 vCPUs, 30 GB RAM",europe-west1-d,8,False,30.00,10,128,65536
48,3096,n1-standard-96,"96 vCPUs, 360 GB RAM",europe-west1-d,96,False,360.00,0,128,65536
49,10160,n1-ultramem-160,"160 vCPUs, 3844 GB RAM",europe-west1-d,160,False,3844.00,0,128,65536
50,10040,n1-ultramem-40,"40 vCPUs, 961 GB RAM",europe-west1-d,40,False,961.00,0,128,65536
51,10080,n1-ultramem-80,"80 vCPUs, 1922 GB RAM",europe-west1-d,80,False,1922.00,0,128,65536
52,1000,f1-micro,1 vCPU (shared physical core) and 0.6 GB RAM,asia-east1-a,1,True,0.60,0,16,3072
53,2000,g1-small,1 vCPU (shared physical core) and 1.7 GB RAM,asia-east1-a,1,True,1.70,0,16,3072
54,4016,n1-highcpu-16,"16 vCPUs, 14.4 GB RAM",asia-east1-a,16,False,14.40,10,128,65536
55,4002,n1-highcpu-2,"2 vCPUs, 1.8 GB RAM",asia-east1-a,2,False,1.80,10,128,65536
56,4032,n1-highcpu-32,"32 vCPUs, 28.8 GB RAM",asia-east1-a,32,False,28.80,0,128,65536
57,4004,n1-highcpu-4,"4 vCPUs, 3.6 GB RAM",asia-east1-a,4,False,3.60,10,128,65536
58,4064,n1-highcpu-64,"64 vCPUs, 57.6 GB RAM",asia-east1-a,64,False,57.60,0,128,65536
59,4008,n1-highcpu-8,"8 vCPUs, 7.2 GB RAM",asia-east1-a,8,False,7.20,10,128,65536
60,4096,n1-highcpu-96,"96 vCPUs, 86 GB RAM",asia-east1-a,96,False,86.40,0,128,65536
61,5016,n1-highmem-16,"16 vCPUs, 104 GB RAM",asia-east1-a,16,False,104.00,10,128,65536
62,5002,n1-highmem-2,"2 vCPUs, 13 GB RAM",asia-east1-a,2,False,13.00,10,128,65536
63,5032,n1-highmem-32,"32 vCPUs, 208 GB RAM",asia-east1-a,32,False,208.00,0,128,65536
64,5004,n1-highmem-4,"4 vCPUs, 26 GB RAM",asia-east1-a,4,False,26.00,10,128,65536
65,5064,n1-highmem-64,"64 vCPUs, 416 GB RAM",asia-east1-a,64,False,416.00,0,128,65536
66,5008,n1-highmem-8,"8 vCPUs, 52 GB RAM",asia-east1-a,8,False,52.00,10,128,65536
67,5096,n1-highmem-96,"96 vCPUs, 624 GB RAM",asia-east1-a,96,False,624.00,0,128,65536
68,9096,n1-megamem-96,"96 vCPUs, 1.4 TB RAM",asia-east1-a,96,False,1433.60,0,128,65536
69,3001,n1-standard-1,"1 vCPU, 3.75 GB RAM",asia-east1-a,1,False,3.75,10,128,65536
70,3016,n1-standard-16,"16 vCPUs, 60 GB RAM",asia-east1-a,16,False,60.00,10,128,65536
71,3002,n1-standard-2,"2 vCPUs, 7.5 GB RAM",asia-east1-a,2,False,7.50,10,128,65536
72,3032,n1-standard-32,"32 vCPUs, 120 GB RAM",asia-east1-a,32,False,120.00,0,128,65536
73,3004,n1-standard-4,"4 vCPUs, 15 GB RAM",asia-east1-a,4,False,15.00,10,128,65536
74,3064,n1-standard-64,"64 vCPUs, 240 GB RAM",asia-east1-a,64,False,240.00,0,128,65536
75,3008,n1-standard-8,"8 vCPUs, 30 GB RAM",asia-east1-a,8,False,30.00,10,128,65536
76,3096,n1-standard-96,"96 vCPUs, 360 GB RAM",asia-east1-a,96,False,360.00,0,128,65536
77,1000,f1-micro,1 vCPU (shared physical core) and 0.6 GB RAM,asia-east1-b,1,True,0.60,0,16,3072
78,2000,g1-small,1 vCPU (shared physical core) and 1.7 GB RAM,asia-east1-b,1,True,1.70,0,16,3072
79,4016,n1-highcpu-16,"16 vCPUs, 14.4 GB RAM",asia-east1-b,16,False,14.40,10,128,65536
80,4002,n1-highcpu-2,"2 vCPUs, 1.8 GB RAM",asia-east1-b,2,False,1.80,10,128,65536
81,4032,n1-highcpu-32,"32 vCPUs, 28.8 GB RAM",asia-east1-b,32,False,28.80,0,128,65536
82,4004,n1-highcpu-4,"4 vCPUs, 3.6 GB RAM",asia-east1-b,4,False,3.60,10,128,65536
