,gcp_service_SKU_NAME,gcp_service_SKU_ID,gcp_service_SKU_DESCRIPTION,gcp_service_SKU_SVC_DISPLAY_NAME,gcp_service_SKU_SVC_FAMILY,gcp_service_SKU_GROUP,gcp_service_SKU_USAGE,gcp_service_SKU_REGION,gcp_service_SKU_TIME,gcp_service_SKU_SUMMARY,gcp_service_SKU_UNIT,gcp_service_SKU_UNIT_DESCRIPTION,gcp_service_SKU_UNIT_DISPLAY_QUANTITY,gcp_service_SKU_CONVERSION_RATE,gcp_service_SKU_START_AMOUNT,gcp_service_SKU_CURRENCY_CODE,gcp_service_SKU_UNITS,gcp_service_SKU_NANOS
0,services/0245-C3C9-3864/skus/51AF-D64F-9ABD,51AF-D64F-9ABD,Geolocation,Geolocation API,ApplicationServices,MapsApi,OnDemand,global,2019-02-11T05:30:15.661Z,,count,count,1000,1,0,USD,0,5000000
1,services/0245-C3C9-3864/skus/51AF-D64F-9ABD,51AF-D64F-9ABD,Geolocation,Geolocation API,ApplicationServices,MapsApi,OnDemand,global,2019-02-11T05:30:15.661Z,,count,count,1000,1,100000,USD,0,4000000
2,services/02DA-B362-D983/skus/9D01-5995-B545,9D01-5995-B545,Count of characters for using standard voices,Cloud Text-to-Speech API,ApplicationServices,TextToSpeech,OnDemand,global,2019-02-11T05:30:17.496Z,,count,count,1000000,1,0,USD,0,0
3,services/02DA-B362-D983/skus/9D01-5995-B545,9D01-5995-B545,Count of characters for using standard voices,Cloud Text-to-Speech API,ApplicationServices,TextToSpeech,OnDemand,global,2019-02-11T05:30:17.496Z,,count,count,1000000,1,4000000,USD,0,4000
4,services/02DA-B362-D983/skus/FEBD-04B6-769B,FEBD-04B6-769B,Count of characters for using wavenet voices,Cloud Text-to-Speech API,ApplicationServices,TextToSpeech,OnDemand,global,2019-02-11T05:30:17.496Z,,count,count,1000000,1,0,USD,0,0
5,services/02DA-B362-D983/skus/FEBD-04B6-769B,FEBD-04B6-769B,Count of characters for using wavenet voices,Cloud Text-to-Speech API,ApplicationServices,TextToSpeech,OnDemand,global,2019-02-11T05:30:17.496Z,,count,count,1000000,1,1000000,USD,0,16000
6,services/04C4-B046-D8B2/skus/1ED9-2E35-7FD8,1ED9-2E35-7FD8,Content Classification Operations,Cloud Natural Language API,ApplicationServices,Language,OnDemand,global,2019-02-11T05:30:19.183Z,,count,count,1000,1,0,USD,0,0
7,services/04C4-B046-D8B2/skus/1ED9-2E35-7FD8,1ED9-2E35-7FD8,Content Classification Operations,Cloud Natural Language API,ApplicationServices,Language,OnDemand,global,2019-02-11T05:30:19.183Z,,count,count,1000,1,30000,USD,0,2000000
8,services/04C4-B046-D8B2/skus/1ED9-2E35-7FD8,1ED9-2E35-7FD8,Content Classification Operations,Cloud Natural Language API,ApplicationServices,Language,OnDemand,global,2019-02-11T05:30:19.183Z,,count,count,1000,1,250000,USD,0,500000
9,services/04C4-B046-D8B2/skus/1ED9-2E35-7FD8,1ED9-2E35-7FD8,Content Classification Operations,Cloud Natural Language API,ApplicationServices,Language,OnDemand,global,2019-02-11T05:30:19.183Z,,count,count,1000,1,5000000,USD,0,100000
10,services/04C4-B046-D8B2/skus/41FE-745B-850A,41FE-745B-850A,AutoML Content Classification Model Training Operations,Cloud Natural Language API,ApplicationServices,Language,OnDemand,global,2019-02-11T05:30:19.183Z,,h,hour,1,1,0,USD,3,0
11,services/04C4-B046-D8B2/skus/A478-2B66-9176,A478-2B66-9176,AutoML Content Classification Online Predictions Operations,Cloud Natural Language API,ApplicationServices,Language,OnDemand,global,2019-02-11T05:30:19.183Z,,count,count,1000,1,0,USD,0,0
12,services/04C4-B046-D8B2/skus/A478-2B66-9176,A478-2B66-9176,AutoML Content Classification Online Predictions Operations,Cloud Natural Language API,ApplicationServices,Language,OnDemand,global,2019-02-11T05:30:19.183Z,,count,count,1000,1,30000,USD,0,5000000
13,services/04C4-B046-D8B2/skus/BA31-C687-924B,BA31-C687-924B,Entity Analysis Operations,Cloud Natural Language API,ApplicationServices,Language,OnDemand,global,2019-02-11T05:30:19.183Z,,count,count,1000,1,0,USD,0,0
